date time,,packet id,,accel x, accel y, accel z, gyroz, gyro y, gyro z, compass x, compass y , compass z
2011/8/1 12:01:59,,14,,3760,-80,1536,-297,22,72,-10,-40,214
2011/8/1 12:01:59,,14,,3856,-144,1504,-297,45,75,-10,-40,214
2011/8/1 12:01:59,,14,,3584,-160,1600,-304,50,74,-10,-40,214
2011/8/1 12:01:59,,14,,3872,-160,1552,-308,60,73,-12,-36,216
2011/8/1 12:01:59,,15,,3808,-160,1552,-315,56,83,-14,-44,216
2011/8/1 12:01:59,,15,,3776,-176,1584,-325,48,80,-14,-44,216
2011/8/1 12:01:59,,15,,3808,-128,1536,-334,44,91,-14,-44,216
2011/8/1 12:01:59,,15,,3760,-192,1648,-337,33,90,-11,-48,218
2011/8/1 12:01:59,,15,,3760,-208,1696,-330,33,96,-10,-49,215
2011/8/1 12:01:59,,16,,3680,-96,1696,-329,26,102,-10,-42,216
2011/8/1 12:01:59,,16,,3760,-80,2000,-324,20,101,-10,-42,216
2011/8/1 12:01:59,,16,,3792,-96,1808,-328,26,102,-9,-41,208
2011/8/1 12:01:59,,16,,3728,-32,1728,-323,36,94,-11,-45,212
2011/8/1 12:01:59,,16,,3792,-48,1776,-323,41,86,-9,-50,213
2011/8/1 12:01:59,,17,,3760,-48,1680,-321,46,82,-9,-50,213
2011/8/1 12:01:59,,17,,3872,-128,1632,-317,43,84,-7,-47,209
2011/8/1 12:01:59,,17,,3824,-160,1472,-312,21,82,-8,-48,212
2011/8/1 12:01:59,,17,,3760,-96,1600,-316,1,87,-5,-45,212
2011/8/1 12:01:59,,17,,4048,-144,1600,-316,-9,92,-5,-45,212
2011/8/1 12:01:59,,18,,3840,-64,1648,-319,-13,104,-5,-45,212
2011/8/1 12:01:59,,18,,3840,-112,1616,-323,-27,98,-5,-51,209
2011/8/1 12:01:59,,18,,3776,-144,1696,-323,-16,99,-6,-53,208
2011/8/1 12:01:59,,18,,3840,-128,1792,-323,-6,91,-6,-53,208
2011/8/1 12:01:59,,18,,3808,-80,1824,-330,28,86,-6,-53,208
2011/8/1 12:01:59,,19,,3808,-64,1824,-339,52,80,-4,-48,215
2011/8/1 12:01:59,,19,,3760,-96,1776,-345,86,62,0,-45,201
2011/8/1 12:01:59,,19,,3728,-160,1696,-354,101,60,0,-46,207
2011/8/1 12:01:59,,19,,3792,-144,1600,-358,100,57,0,-46,207
2011/8/1 12:01:59,,19,,3760,-176,1696,-353,96,66,-1,-45,204
2011/8/1 12:01:59,,20,,3760,-128,1600,-348,78,70,-5,-45,208
2011/8/1 12:01:59,,20,,3760,-240,1584,-355,62,75,-2,-49,209
2011/8/1 12:01:59,,20,,3760,-304,1744,-361,56,87,-2,-49,209
2011/8/1 12:01:59,,20,,3584,-304,1696,-367,57,91,1,-48,203
2011/8/1 12:01:59,,20,,3616,-256,1696,-379,74,92,0,-48,207
2011/8/1 12:01:59,,21,,3856,-496,1680,-384,86,96,4,-50,208
2011/8/1 12:01:59,,21,,3744,-240,1696,-401,108,98,4,-50,208
2011/8/1 12:01:59,,21,,3760,-112,1696,-408,122,106,4,-50,208
2011/8/1 12:01:59,,21,,3776,-192,1712,-423,138,104,6,-47,199
2011/8/1 12:01:59,,21,,3728,-128,1760,-415,142,117,10,-45,202
2011/8/1 12:01:59,,22,,3680,-224,1664,-422,145,111,10,-45,202
2011/8/1 12:01:59,,22,,3632,-192,1648,-427,133,121,10,-45,202
2011/8/1 12:01:59,,22,,3696,-144,1600,-428,122,133,10,-52,194
2011/8/1 12:01:59,,22,,3648,-176,1600,-430,118,133,12,-49,202
2011/8/1 12:01:59,,22,,3664,-192,1616,-432,107,141,12,-49,202
2011/8/1 12:01:59,,23,,3696,-208,1600,-430,97,147,12,-49,202
2011/8/1 12:01:59,,23,,3664,-48,1488,-438,72,145,10,-53,204
2011/8/1 12:01:59,,23,,3680,-208,1488,-443,69,162,9,-57,197
2011/8/1 12:01:59,,23,,3728,-80,1600,-447,59,167,8,-55,194
2011/8/1 12:01:59,,23,,3728,-96,1552,-461,59,162,8,-55,194
